permno,adate,qdate,public_date,pe_exi,TICKER
86964,2011-09-30,2012-06-30,2012-10-31,24.009,FFIV
86964,2012-09-30,2012-09-30,2012-11-30,27.154,FFIV
86964,2012-09-30,2012-09-30,2012-12-31,28.159,FFIV
86964,2012-09-30,2012-09-30,2013-01-31,30.400,FFIV
86964,2012-09-30,2012-12-31,2013-02-28,26.980,FFIV
86964,2012-09-30,2012-12-31,2013-03-31,25.451,FFIV
86964,2012-09-30,2012-12-31,2013-04-30,21.837,FFIV
86964,2012-09-30,2013-03-31,2013-05-31,24.189,FFIV
86964,2012-09-30,2013-03-31,2013-06-30,20.000,FFIV
86964,2012-09-30,2013-03-31,2013-07-31,25.523,FFIV
86964,2012-09-30,2013-06-30,2013-08-31,24.596,FFIV
86964,2012-09-30,2013-06-30,2013-09-30,25.312,FFIV
86964,2012-09-30,2013-06-30,2013-10-31,24.052,FFIV
86964,2013-09-30,2013-09-30,2013-11-30,23.503,FFIV
86964,2013-09-30,2013-09-30,2013-12-31,25.960,FFIV
86964,2013-09-30,2013-09-30,2014-01-31,30.577,FFIV
86964,2013-09-30,2013-12-31,2014-02-28,32.097,FFIV
86964,2013-09-30,2013-12-31,2014-03-31,30.466,FFIV
86964,2013-09-30,2013-12-31,2014-04-30,30.049,FFIV
86964,2013-09-30,2014-03-31,2014-05-31,29.986,FFIV
86964,2013-09-30,2014-03-31,2014-06-30,30.785,FFIV
86964,2013-09-30,2014-03-31,2014-07-31,31.102,FFIV
86964,2013-09-30,2014-06-30,2014-08-31,32.596,FFIV
86964,2013-09-30,2014-06-30,2014-09-30,31.165,FFIV
86964,2013-09-30,2014-06-30,2014-10-31,32.278,FFIV
86964,2014-09-30,2014-09-30,2014-11-30,31.587,FFIV
86964,2014-09-30,2014-09-30,2014-12-31,31.899,FFIV
86964,2014-09-30,2014-09-30,2015-01-31,27.291,FFIV
86964,2014-09-30,2014-12-31,2015-02-28,26.663,FFIV
86964,2014-09-30,2014-12-31,2015-03-31,25.946,FFIV
86964,2014-09-30,2014-12-31,2015-04-30,27.544,FFIV
86964,2014-09-30,2015-03-31,2015-05-31,26.800,FFIV
86964,2014-09-30,2015-03-31,2015-06-30,25.661,FFIV
86964,2014-09-30,2015-03-31,2015-07-31,28.601,FFIV
86964,2014-09-30,2015-06-30,2015-08-31,24.627,FFIV
86964,2014-09-30,2015-06-30,2015-09-30,23.489,FFIV
86964,2014-09-30,2015-06-30,2015-10-31,22.353,FFIV
86964,2015-09-30,2015-09-30,2015-11-30,20.477,FFIV
86964,2015-09-30,2015-09-30,2015-12-31,19.276,FFIV
86964,2015-09-30,2015-09-30,2016-01-31,18.644,FFIV
86964,2015-09-30,2015-12-31,2016-02-29,18.820,FFIV
86964,2015-09-30,2015-12-31,2016-03-31,20.714,FFIV
86964,2015-09-30,2015-12-31,2016-04-30,20.499,FFIV
86964,2015-09-30,2016-03-31,2016-05-31,21.822,FFIV
86964,2015-09-30,2016-03-31,2016-06-30,22.543,FFIV
86964,2015-09-30,2016-03-31,2016-07-31,24.440,FFIV
86964,2015-09-30,2016-06-30,2016-08-31,24.018,FFIV
86964,2015-09-30,2016-06-30,2016-09-30,24.391,FFIV
86964,2015-09-30,2016-06-30,2016-10-31,27.047,FFIV
86964,2016-09-30,2016-09-30,2016-11-30,26.162,FFIV
86964,2016-09-30,2016-09-30,2016-12-31,26.900,FFIV
86964,2016-09-30,2016-09-30,2017-01-31,24.913,FFIV
86964,2016-09-30,2016-12-31,2017-02-28,25.768,FFIV
86964,2016-09-30,2016-12-31,2017-03-31,25.642,FFIV
86964,2016-09-30,2016-12-31,2017-04-30,23.225,FFIV
86964,2016-09-30,2017-03-31,2017-05-31,21.791,FFIV
86964,2016-09-30,2017-03-31,2017-06-30,21.609,FFIV
86964,2016-09-30,2017-03-31,2017-07-31,20.536,FFIV
86964,2016-09-30,2017-06-30,2017-08-31,19.831,FFIV
86964,2016-09-30,2017-06-30,2017-09-30,20.027,FFIV
86964,2016-09-30,2017-06-30,2017-10-31,20.145,FFIV
86964,2017-09-30,2017-09-30,2017-11-30,20.646,FFIV
86964,2017-09-30,2017-09-30,2017-12-31,20.188,FFIV
86964,2017-09-30,2017-09-30,2018-01-31,22.237,FFIV
86964,2017-09-30,2017-12-31,2018-02-28,22.849,FFIV
86964,2017-09-30,2017-12-31,2018-03-31,22.248,FFIV
86964,2017-09-30,2017-12-31,2018-04-30,25.091,FFIV
86964,2017-09-30,2018-03-31,2018-05-31,25.308,FFIV
86964,2017-09-30,2018-03-31,2018-06-30,25.212,FFIV
86964,2017-09-30,2018-03-31,2018-07-31,25.056,FFIV
86964,2017-09-30,2018-06-30,2018-08-31,25.907,FFIV
86964,2017-09-30,2018-06-30,2018-09-30,27.318,FFIV
86964,2017-09-30,2018-06-30,2018-10-31,24.011,FFIV
86964,2018-09-30,2018-09-30,2018-11-30,23.493,FFIV
86964,2018-09-30,2018-09-30,2018-12-31,22.135,FFIV
86964,2018-09-30,2018-09-30,2019-01-31,21.988,FFIV
86964,2018-09-30,2018-12-31,2019-02-28,20.758,FFIV
86964,2018-09-30,2018-12-31,2019-03-31,19.374,FFIV
86964,2018-09-30,2018-12-31,2019-04-30,19.370,FFIV
86964,2018-09-30,2019-03-31,2019-05-31,15.990,FFIV
86964,2018-09-30,2019-03-31,2019-06-30,17.631,FFIV
86964,2018-09-30,2019-03-31,2019-07-31,17.763,FFIV
86964,2018-09-30,2019-06-30,2019-08-31,16.740,FFIV
86964,2018-09-30,2019-06-30,2019-09-30,18.260,FFIV
86964,2018-09-30,2019-06-30,2019-10-31,18.736,FFIV
86964,2019-09-30,2019-09-30,2019-11-30,20.581,FFIV
86964,2019-09-30,2019-09-30,2019-12-31,19.725,FFIV
86964,2019-09-30,2019-09-30,2020-01-31,17.249,FFIV
86964,2019-09-30,2019-12-31,2020-02-29,18.313,FFIV
86964,2019-09-30,2019-12-31,2020-03-31,16.279,FFIV
86964,2019-09-30,2019-12-31,2020-04-30,21.261,FFIV
86964,2019-09-30,2020-03-31,2020-05-31,25.786,FFIV
86964,2019-09-30,2020-03-31,2020-06-30,24.819,FFIV
86964,2019-09-30,2020-03-31,2020-07-31,24.181,FFIV
86964,2019-09-30,2020-06-30,2020-08-31,24.827,FFIV
86964,2019-09-30,2020-06-30,2020-09-30,23.034,FFIV
86964,2019-09-30,2020-06-30,2020-10-31,24.942,FFIV
86964,2020-09-30,2020-09-30,2020-11-30,32.497,FFIV
86964,2020-09-30,2020-09-30,2020-12-31,35.118,FFIV
86964,2020-09-30,2020-09-30,2021-01-31,39.112,FFIV
86964,2020-09-30,2020-12-31,2021-02-28,39.497,FFIV
86964,2020-09-30,2020-12-31,2021-03-31,43.372,FFIV
86964,2020-09-30,2020-12-31,2021-04-30,38.827,FFIV
86964,2020-09-30,2021-03-31,2021-05-31,41.207,FFIV
86964,2020-09-30,2021-03-31,2021-06-30,41.480,FFIV
86964,2020-09-30,2021-03-31,2021-07-31,45.891,FFIV
86964,2020-09-30,2021-06-30,2021-08-31,42.322,FFIV
86964,2020-09-30,2021-06-30,2021-09-30,41.326,FFIV
86964,2020-09-30,2021-06-30,2021-10-31,43.898,FFIV
86964,2021-09-30,2021-09-30,2021-11-30,42.618,FFIV
86964,2021-09-30,2021-09-30,2021-12-31,45.826,FFIV
86964,2021-09-30,2021-09-30,2022-01-31,38.880,FFIV
